,DATA,EQUIPE CASA,PLACAR CASA,PLACAR VISITANTE,EQUIPE VISITANTE,VENCEDOR,RODADA,FASE,GINASIO,TEMPORADA
0,2024-07-10 17:00:00,VipTech CMB,61,74,Fortaleza B. C.,Fortaleza B. C.,1,1º TURNO,Maracanãzinho,2020-21
1,2024-07-10 20:00:00,Flamengo,10,68,Minas,Minas,1,1º TURNO,Maracanãzinho,2020-21
2,2024-07-12 15:30:00,UNIFACISA,86,88,VipTech CMB,VipTech CMB,1,1º TURNO,Maracanãzinho,2020-21
3,2024-07-12 15:30:00,Corinthians,10,86,Sesi Franca,Sesi Franca,1,1º TURNO,Prof. Hugo Ramos,2020-21
4,2024-07-12 18:00:00,Fortaleza B. C.,69,82,Flamengo,Flamengo,1,1º TURNO,Maracanãzinho,2020-21
5,2024-07-12 20:30:00,Minas,76,54,Pato Basquete,Minas,1,1º TURNO,Maracanãzinho,2020-21
6,2024-07-13 20:00:00,Mogi,85,90,Bauru,Bauru,1,1º TURNO,Prof. Hugo Ramos,2020-21
7,2024-07-14 15:00:00,VipTech CMB,54,90,Minas,Minas,1,1º TURNO,Maracanãzinho,2020-21
8,2024-07-14 16:00:00,São Paulo,10,61,Corinthians,Corinthians,1,1º TURNO,Prof. Hugo Ramos,2020-21
9,2024-07-14 17:30:00,Pato Basquete,69,76,Fortaleza B. C.,Fortaleza B. C.,1,1º TURNO,Maracanãzinho,2020-21
10,2024-07-14 18:30:00,Brasília,57,73,Paulistano,Paulistano,1,1º TURNO,Prof. Hugo Ramos,2020-21
11,2024-07-14 20:00:00,Flamengo,86,79,UNIFACISA,Flamengo,1,1º TURNO,Maracanãzinho,2020-21
12,2024-07-14 21:00:00,Sesi Franca,80,60,Pinheiros,Sesi Franca,1,1º TURNO,Prof. Hugo Ramos,2020-21
13,2024-07-16 16:00:00,Cerrado Basquete,79,86,Sesi Franca,Sesi Franca,2,1º TURNO,Prof. Hugo Ramos,2020-21
14,2024-07-16 18:30:00,Bauru,93,70,Brasília,Bauru,2,1º TURNO,Prof. Hugo Ramos,2020-21
15,2024-07-16 21:00:00,Corinthians,76,74,Pinheiros,Corinthians,2,1º TURNO,Prof. Hugo Ramos,2020-21
16,2024-07-17 15:00:00,VipTech CMB,78,82,Pato Basquete,Pato Basquete,2,1º TURNO,Prof. Hugo Ramos,2020-21
17,2024-07-17 17:30:00,UNIFACISA,69,67,Fortaleza B. C.,UNIFACISA,2,1º TURNO,Prof. Hugo Ramos,2020-21
18,2024-07-17 20:00:00,Mogi,75,12,São Paulo,Mogi,2,1º TURNO,Prof. Hugo Ramos,2020-21
19,2024-07-18 16:00:00,KTO/Caxias do Sul,84,69,Brasília,KTO/Caxias do Sul,2,1º TURNO,Prof. Hugo Ramos,2020-21
20,2024-07-18 18:30:00,Cerrado Basquete,81,83,Bauru,Bauru,2,1º TURNO,Prof. Hugo Ramos,2020-21
21,2024-07-18 21:00:00,Paulistano,75,74,Corinthians,Paulistano,2,1º TURNO,Prof. Hugo Ramos,2020-21
22,2024-07-19 13:30:00,Pato Basquete,85,76,UNIFACISA,Pato Basquete,2,1º TURNO,Prof. Hugo Ramos,2020-21
23,2024-07-19 16:00:00,Fortaleza B. C.,67,82,Minas,Minas,2,1º TURNO,Prof. Hugo Ramos,2020-21
24,2024-07-19 18:30:00,Pinheiros,73,00,São Paulo,Pinheiros,2,1º TURNO,Prof. Hugo Ramos,2020-21
25,2024-07-19 21:00:00,Sesi Franca,94,82,Mogi,Sesi Franca,2,1º TURNO,Prof. Hugo Ramos,2020-21
26,2024-07-20 16:00:00,Paulistano,72,61,Cerrado Basquete,Paulistano,2,1º TURNO,Prof. Hugo Ramos,2020-21
27,2024-07-20 18:30:00,Bauru,74,54,KTO/Caxias do Sul,Bauru,2,1º TURNO,Prof. Hugo Ramos,2020-21
28,2024-07-20 21:00:00,Flamengo,78,63,VipTech CMB,Flamengo,2,1º TURNO,Prof. Hugo Ramos,2020-21
29,2024-07-21 15:00:00,São Paulo,90,96,Sesi Franca,Sesi Franca,2,1º TURNO,Prof. Hugo Ramos,2020-21
30,2024-07-21 17:30:00,Minas,10,99,UNIFACISA,UNIFACISA,2,1º TURNO,Prof. Hugo Ramos,2020-21
31,2024-07-21 20:00:00,Brasília,84,78,Pinheiros,Brasília,2,1º TURNO,Prof. Hugo Ramos,2020-21
32,2024-07-22 16:00:00,KTO/Caxias do Sul,62,86,Paulistano,Paulistano,2,1º TURNO,Prof. Hugo Ramos,2020-21
33,2024-07-22 19:00:00,Flamengo,10,70,Pato Basquete,Pato Basquete,2,1º TURNO,Prof. Hugo Ramos,2020-21
34,2024-07-23 17:00:00,Brasília,71,85,Corinthians,Corinthians,3,1º TURNO,Prof. Hugo Ramos,2020-21
35,2024-07-23 20:00:00,Mogi,81,75,Cerrado Basquete,Mogi,3,1º TURNO,Prof. Hugo Ramos,2020-21
36,2024-07-25 20:00:00,Cerrado Basquete,67,63,KTO/Caxias do Sul,Cerrado Basquete,3,1º TURNO,Prof. Hugo Ramos,2020-21
37,2024-07-28 16:00:00,Corinthians,81,87,Mogi,Mogi,3,1º TURNO,Prof. Hugo Ramos,2020-21
38,2024-08-02 14:30:00,Cerrado Basquete,67,75,UNIFACISA,UNIFACISA,4,1º TURNO,ASCEB,2020-21
39,2024-08-02 17:30:00,Fortaleza B. C.,85,78,KTO/Caxias do Sul,Fortaleza B. C.,4,1º TURNO,ASCEB,2020-21
40,2024-08-02 20:30:00,Minas,10,00,BRB/Brasília,Minas,4,1º TURNO,ASCEB,2020-21
41,2024-08-03 14:30:00,Pato Basquete,64,86,Sesi Franca,Sesi Franca,4,1º TURNO,Ginásio Pol. Dr. Antônio L. Nunes Galvão - (Morumbi),2020-21
42,2024-08-03 17:30:00,Pinheiros,62,95,Flamengo,Flamengo,4,1º TURNO,Ginásio Pol. Dr. Antônio L. Nunes Galvão - (Morumbi),2020-21
43,2024-08-03 20:30:00,São Paulo,92,79,VipTech CMB,São Paulo,4,1º TURNO,Ginásio Pol. Dr. Antônio L. Nunes Galvão - (Morumbi),2020-21
44,2024-08-04 14:30:00,KTO/Caxias do Sul,63,94,Minas,Minas,4,1º TURNO,ASCEB,2020-21
45,2024-08-04 17:30:00,UNIFACISA,91,74,BRB/Brasília,UNIFACISA,4,1º TURNO,ASCEB,2020-21
46,2024-08-04 18:00:00,Paulistano,69,62,Mogi,Paulistano,4,1º TURNO,Ginásio Pol. Dr. Antônio L. Nunes Galvão - (Morumbi),2020-21
47,2024-08-04 20:30:00,Cerrado Basquete,73,75,Fortaleza B. C.,Fortaleza B. C.,4,1º TURNO,ASCEB,2020-21
48,2024-08-05 09:00:00,VipTech CMB,79,66,Pinheiros,VipTech CMB,4,1º TURNO,Ginásio Pol. Dr. Antônio L. Nunes Galvão - (Morumbi),2020-21
49,2024-08-05 12:00:00,Pato Basquete,71,80,São Paulo,São Paulo,4,1º TURNO,Ginásio Pol. Dr. Antônio L. Nunes Galvão - (Morumbi),2020-21
50,2024-08-05 16:00:00,Flamengo,93,62,Sesi Franca,Flamengo,4,1º TURNO,Ginásio Pol. Dr. Antônio L. Nunes Galvão - (Morumbi),2020-21
51,2024-08-05 19:00:00,Bauru,82,67,Corinthians,Bauru,4,1º TURNO,Ginásio Pol. Dr. Antônio L. Nunes Galvão - (Morumbi),2020-21
52,2024-08-06 11:30:00,Fortaleza B. C.,71,63,BRB/Brasília,Fortaleza B. C.,4,1º TURNO,ASCEB,2020-21
53,2024-08-06 14:30:00,Minas,97,77,Cerrado Basquete,Minas,4,1º TURNO,ASCEB,2020-21
54,2024-08-06 17:30:00,KTO/Caxias do Sul,65,90,UNIFACISA,UNIFACISA,4,1º TURNO,ASCEB,2020-21
55,2024-08-07 17:00:00,Pinheiros,85,77,Pato Basquete,Pinheiros,5,1º TURNO,Ginásio Pol. Dr. Antônio L. Nunes Galvão - (Morumbi),2020-21
56,2024-08-07 20:00:00,Sesi Franca,95,58,VipTech CMB,Sesi Franca,5,1º TURNO,Ginásio Pol. Dr. Antônio L. Nunes Galvão - (Morumbi),2020-21
57,2024-08-08 17:00:00,Bauru,81,62,Paulistano,Bauru,5,1º TURNO,Prof. Hugo Ramos,2020-21
58,2024-08-08 20:00:00,São Paulo,80,68,Flamengo,São Paulo,5,1º TURNO,Ginásio Pol. Dr. Antônio L. Nunes Galvão - (Morumbi),2020-21
59,2024-08-09 20:00:00,UNIFACISA,94,74,Corinthians,UNIFACISA,5,1º TURNO,Prof. Hugo Ramos,2020-21
60,2024-08-10 17:00:00,Pato Basquete,80,79,Bauru,Pato Basquete,5,1º TURNO,Prof. Hugo Ramos,2020-21
61,2024-08-10 20:00:00,Flamengo,10,76,Paulistano,Paulistano,5,1º TURNO,Prof. Hugo Ramos,2020-21
62,2024-08-11 14:30:00,Mogi,98,91,UNIFACISA,Mogi,5,1º TURNO,Prof. Hugo Ramos,2020-21
63,2024-08-11 17:30:00,Pinheiros,79,72,KTO/Caxias do Sul,Pinheiros,5,1º TURNO,Poliesportivo H. Villaboim,2020-21
64,2024-08-11 20:30:00,BRB/Brasília,80,04,São Paulo,BRB/Brasília,5,1º TURNO,Poliesportivo H. Villaboim,2020-21
65,2024-08-12 16:00:00,Bauru,73,90,Flamengo,Flamengo,5,1º TURNO,Prof. Hugo Ramos,2020-21
66,2024-08-12 19:00:00,Paulistano,75,68,Pato Basquete,Paulistano,5,1º TURNO,Prof. Hugo Ramos,2020-21
67,2024-08-13 13:00:00,Sesi Franca,90,93,BRB/Brasília,BRB/Brasília,5,1º TURNO,Poliesportivo H. Villaboim,2020-21
